student_id,name,email,course_id,course_name,attempt_id,attempt_timestamp,score,max_score,grade,topic_tags
S001,Seher Varty,seher.varty@example.com,C101,Python Basics,1,2025-09-09,56,100,C,"syntax,loops"
S001,Seher Varty,seher.varty@example.com,C102,Data Science,1,2025-03-01,74,100,B,"numpy,pandas"
S001,Seher Varty,seher.varty@example.com,C103,Machine Learning,1,2025-02-04,49,100,C,"regression,classification"
S001,Seher Varty,seher.varty@example.com,C104,Database Systems,1,2025-01-07,72,100,B,"sql,normalization"
S001,Seher Varty,seher.varty@example.com,C104,Database Systems,2,2025-06-13,67,100,B,"sql,normalization"
S001,Seher Varty,seher.varty@example.com,C104,Database Systems,3,2025-04-14,74,100,B,"sql,normalization"
S001,Seher Varty,seher.varty@example.com,C105,Computer Networks,1,2025-02-17,81,100,A,"tcp,ip,routing"
S001,Seher Varty,seher.varty@example.com,C105,Computer Networks,2,2025-05-27,84,100,A,"tcp,ip,routing"
S002,Riya Rana,riya.rana@example.com,C101,Python Basics,1,2025-03-11,44,100,C,"syntax,loops"
S002,Riya Rana,riya.rana@example.com,C101,Python Basics,2,2025-09-11,44,100,C,"syntax,loops"
S002,Riya Rana,riya.rana@example.com,C102,Data Science,1,2025-01-17,47,100,C,"numpy,pandas"
S002,Riya Rana,riya.rana@example.com,C103,Machine Learning,1,2025-03-19,70,100,B,"regression,classification"
S002,Riya Rana,riya.rana@example.com,C103,Machine Learning,2,2025-03-07,75,100,B,"regression,classification"
S002,Riya Rana,riya.rana@example.com,C103,Machine Learning,3,2025-09-07,85,100,A,"regression,classification"
S002,Riya Rana,riya.rana@example.com,C104,Database Systems,1,2025-06-10,37,100,F,"sql,normalization"
S002,Riya Rana,riya.rana@example.com,C104,Database Systems,2,2025-05-15,40,100,C,"sql,normalization"
S002,Riya Rana,riya.rana@example.com,C105,Computer Networks,1,2025-04-11,85,100,A,"tcp,ip,routing"
S002,Riya Rana,riya.rana@example.com,C105,Computer Networks,2,2025-03-24,92,100,A,"tcp,ip,routing"
S002,Riya Rana,riya.rana@example.com,C105,Computer Networks,3,2025-02-21,100,100,A,"tcp,ip,routing"
S003,Shaan Karnik,shaan.karnik@example.com,C101,Python Basics,1,2025-08-27,43,100,C,"syntax,loops"
S003,Shaan Karnik,shaan.karnik@example.com,C102,Data Science,1,2025-04-26,51,100,C,"numpy,pandas"
S003,Shaan Karnik,shaan.karnik@example.com,C102,Data Science,2,2025-05-11,45,100,C,"numpy,pandas"
S003,Shaan Karnik,shaan.karnik@example.com,C102,Data Science,3,2025-03-09,57,100,C,"numpy,pandas"
S003,Shaan Karnik,shaan.karnik@example.com,C103,Machine Learning,1,2025-08-02,51,100,C,"regression,classification"
S003,Shaan Karnik,shaan.karnik@example.com,C104,Database Systems,1,2025-04-11,61,100,B,"sql,normalization"
S003,Shaan Karnik,shaan.karnik@example.com,C105,Computer Networks,1,2025-03-26,91,100,A,"tcp,ip,routing"
S003,Shaan Karnik,shaan.karnik@example.com,C105,Computer Networks,2,2025-09-08,95,100,A,"tcp,ip,routing"
S004,Pranay Buch,pranay.buch@example.com,C101,Python Basics,1,2025-08-22,87,100,A,"syntax,loops"
S004,Pranay Buch,pranay.buch@example.com,C102,Data Science,1,2025-03-21,90,100,A,"numpy,pandas"
S004,Pranay Buch,pranay.buch@example.com,C102,Data Science,2,2025-08-28,94,100,A,"numpy,pandas"
S004,Pranay Buch,pranay.buch@example.com,C102,Data Science,3,2025-09-21,87,100,A,"numpy,pandas"
S004,Pranay Buch,pranay.buch@example.com,C103,Machine Learning,1,2025-09-02,24,100,F,"regression,classification"
S004,Pranay Buch,pranay.buch@example.com,C103,Machine Learning,2,2025-09-11,39,100,F,"regression,classification"
S004,Pranay Buch,pranay.buch@example.com,C103,Machine Learning,3,2025-02-02,56,100,C,"regression,classification"
S004,Pranay Buch,pranay.buch@example.com,C104,Database Systems,1,2025-05-17,86,100,A,"sql,normalization"
S004,Pranay Buch,pranay.buch@example.com,C104,Database Systems,2,2025-06-28,93,100,A,"sql,normalization"
